Var1,Var2,Var3,g,o
A2,0,1670,n,2
A2,1,266,n,2
A2,2,233,n,2
A2,3,239,n,2
A2,4,240,n,2
A2,5,238,n,2
A2,6,227,n,2
B6,0,1158,n,2
B6,1,270,n,2
B6,2,240,n,2
B6,3,195,n,2
B6,4,188,n,2
B6,5,189,n,2
D3,0,641,n,2
D3,1,330,n,2
D3,2,280,n,2
D3,3,255,n,2
D3,4,244,n,2
D3,5,238,n,2
B5,0,644,n,2
B5,1,361,n,2
B5,2,249,n,2
B5,3,200,n,2
B5,4,181,n,2
B5,5,196,n,2
E5,0,748,n,2
E5,1,251,n,2
E5,2,230,n,2
E5,3,207,n,2
E5,4,185,n,2
E5,5,186,n,2
E5,6,176,n,2
E5,7,186,n,2
E4,0,602,n,2
E4,1,289,n,2
E4,2,218,n,2
E4,3,194,n,2
E4,4,166,n,2
E4,5,158,n,2
A3,0,626,n,2
A3,1,293,n,2
A3,2,204,n,2
A3,3,180,n,2
A3,4,157,n,2
A3,5,132,n,2
C4,0,478,n,2
C4,1,311,n,2
C4,2,229,n,2
C4,3,189,n,2
C4,4,147,n,2
C3,0,671,n,2
C3,1,254,n,2
C3,2,208,n,2
C3,3,175,n,2
C3,4,174,n,2
C3,5,173,n,2
C3,6,153,n,2
C3,7,156,n,2
B3,0,740,n,2
B3,1,295,n,2
B3,2,273,n,2
B3,3,242,n,2
B3,4,202,n,2
B3,5,196,n,2
B3,6,148,n,2
